,date,nw_incumbent,ew_incumbent,nw_challenger,ew_challenger
0,2024-07-21,45.47037808467286,44.92666666666666,46.224958116368576,45.96
1,2024-07-22,44.2925301327712,43.53333333333333,44.11670605035445,44.269999999999996
2,2024-07-23,44.6324828407237,43.54838709677419,44.453181263687,44.3258064516129
3,2024-07-24,45.15709881531022,43.765625,44.36070260930099,43.70625
4,2024-07-25,47.42032324250387,46.67368421052631,44.733513912386165,44.22631578947369
5,2024-07-26,47.53558241869405,46.805882352941175,45.358209835955016,45.4470588235294
6,2024-07-27,47.47391521036639,46.4,45.39089403707336,45.968421052631584
7,2024-07-28,47.13109431197549,46.09444444444445,45.705191820967094,46.62777777777777
8,2024-07-29,47.00941196787842,46.061904761904756,45.213383991019775,46.55714285714286
9,2024-07-30,47.03542673107891,46.03333333333333,45.23959563428163,46.490476190476194
10,2024-07-31,47.34327078615335,45.08275862068965,44.48089615011323,45.12413793103449
11,2024-08-01,47.49708270779309,45.50689655172413,44.74380715163095,45.14827586206897
12,2024-08-02,47.93653965716316,46.251612903225805,44.50393759066821,45.167741935483875
13,2024-08-03,48.08639614654795,46.28387096774193,44.31745730550285,45.10322580645162
14,2024-08-04,48.78143269155819,47.734782608695646,44.25663730610336,46.01739130434783
15,2024-08-05,48.565793528505395,47.62499999999999,44.57037933817595,46.42500000000001
16,2024-08-06,48.6964341609915,47.96875,45.030459794424935,47.550000000000004
17,2024-08-07,48.705639260709084,47.773684210526326,45.05451810789864,47.20789473684211
18,2024-08-08,48.539240910481716,47.62894736842106,45.08836488446035,47.43421052631579
19,2024-08-09,48.37174262867329,47.76285714285714,44.625115737875376,46.76285714285714
20,2024-08-10,48.15392627812362,47.458333333333336,44.64715210038724,46.7888888888889
21,2024-08-11,48.069377529389094,47.391891891891895,44.68441896319137,46.74054054054055
22,2024-08-12,47.800012328176045,47.07179487179487,45.52401066387228,47.04615384615384
23,2024-08-13,48.24372609942639,47.675,45.22167035133843,46.6025
24,2024-08-14,48.04833347712305,47.43255813953488,44.725597446294536,46.097674418604655
25,2024-08-15,48.188491005996006,48.2936170212766,44.32803686431268,45.02127659574468
26,2024-08-16,47.70706638660811,48.87714285714285,43.71551779008338,45.15428571428572
27,2024-08-17,47.68759908336151,49.11714285714285,43.50371288678513,44.65428571428572
28,2024-08-18,47.660913557425694,49.05833333333333,43.83056866274262,45.06944444444444
29,2024-08-19,47.82394725589992,49.27837837837838,44.17592860788127,45.170270270270265
30,2024-08-20,47.704418730639404,47.98787878787879,44.27889260859298,46.024242424242416
31,2024-08-21,47.90131154410224,48.076470588235296,44.15937146448775,46.22941176470587
32,2024-08-22,47.779662602778565,47.558064516129036,43.884394669690955,46.39032258064516
33,2024-08-23,48.045206917113894,47.78636363636363,43.828645199761475,45.654545454545456
34,2024-08-24,48.02975024397297,47.75869565217391,43.77791713352851,45.68260869565216
35,2024-08-25,47.65235185922189,47.37619047619048,44.199505211414554,46.00000000000001
36,2024-08-26,45.95881828469531,46.92222222222223,43.28973080484209,45.96805555555555
37,2024-08-27,45.86157472145789,47.02222222222223,43.738728254168734,46.344444444444434
38,2024-08-28,46.00361290794138,47.24032258064516,43.78655374045243,46.060483870967744
39,2024-08-29,46.01610510344163,47.611111111111114,43.26296291836259,45.49
40,2024-08-30,46.4219742549946,48.65893617021274,43.551766434763195,45.015957446808514
41,2024-08-31,46.46835846150344,48.57431818181818,43.480304042005905,45.2375
42,2024-09-01,46.6064658287222,48.93978723404256,43.55461467990766,44.92978723404255
43,2024-09-02,46.488531763081184,49.25744186046512,43.513107257940774,44.57441860465116
44,2024-09-03,46.43560393493936,49.69938775510205,43.51224797783403,44.80204081632653
45,2024-09-04,46.29296573353083,49.83470588235294,43.38289821013347,44.62352941176471
46,2024-09-05,48.92100282865516,49.80129629629629,46.160197877868654,45.05925925925926
47,2024-09-06,48.646394631090104,49.49507462686567,45.73280176956305,44.753731343283576
48,2024-09-07,48.865814741163646,50.127543859649116,45.70888960164219,44.74561403508772
49,2024-09-08,48.9169327918933,50.049499999999995,45.719611057298266,44.846666666666664
50,2024-09-09,49.25835331891749,49.98983050847456,46.04671554943976,45.413389830508486
51,2024-09-10,49.55645044794777,50.4826923076923,45.91486394888535,45.16326923076924
52,2024-09-11,49.06487376100736,49.81666666666666,45.220805823797164,44.6901388888889
53,2024-09-12,49.32173385345246,50.00454545454545,45.188725140321445,44.861250000000005
54,2024-09-13,49.70088850221337,50.22619047619047,45.35610077805928,45.10702380952381
55,2024-09-14,49.95380956160279,50.627397260273966,45.289044831793966,45.05465753424658
56,2024-09-15,49.90609257998638,50.546249999999986,45.47577636450106,45.369875000000015
57,2024-09-16,49.71120044925429,50.23296703296702,45.722676284423244,45.3724175824176
58,2024-09-17,49.434359834558826,49.87093023255814,46.143855055147064,45.88709302325582
59,2024-09-18,49.10255870269375,49.44810126582277,46.5285718868686,46.250506329113925
60,2024-09-19,49.32017807443167,49.46875000000001,46.28547819019236,46.28906249999999
61,2024-09-20,49.53783321269069,49.78589285714287,45.9028500798973,46.12642857142857
62,2024-09-21,49.6300066031639,49.703888888888905,45.65455028239063,46.04962962962963
63,2024-09-22,49.71066689368657,49.55017857142858,45.81586297078254,46.349642857142854
64,2024-09-23,49.791824382415314,49.50149253731343,45.94413366194761,46.525373134328355
65,2024-09-24,49.49781572135688,49.13823529411765,46.06137664047954,46.83382352941176
66,2024-09-25,49.66897182176432,49.281967213114754,45.266826026263445,46.34754098360656
67,2024-09-26,49.332701081136584,48.911538461538456,45.807877480966425,47.22115384615385
68,2024-09-27,48.783332465341076,48.2486111111111,46.81413021967148,47.87222222222223
69,2024-09-28,48.71554630038059,48.06388888888889,46.7923381512674,47.74722222222223
70,2024-09-29,48.737943059981106,48.13333333333333,46.827462193944804,47.64782608695653
71,2024-09-30,48.67432799724875,48.00333333333333,46.71608590985233,47.73833333333334
72,2024-10-01,49.650040710828385,48.61739130434783,47.06960824056462,47.55869565217391
73,2024-10-02,49.542697097723526,48.55555555555556,47.115183020545444,47.35353535353534
74,2024-10-03,49.536975224657766,48.41142857142857,47.26392710170488,47.745714285714286
75,2024-10-04,49.619304920842175,48.60776699029126,47.243854047657905,47.5621359223301
76,2024-10-05,49.679266108670014,48.57564356435644,47.29807895550639,47.99841584158416
77,2024-10-06,49.546252943371464,48.498782608695656,47.354239162602774,47.990695652173905
78,2024-10-07,49.40458562942269,48.31471999999999,47.3544003561177,48.04112
79,2024-10-08,49.492567457788105,48.560983606557365,47.33288840563409,47.988032786885235
80,2024-10-09,49.75707717862016,49.168495575221236,47.22955086248377,47.587964601769905
81,2024-10-10,49.72617087551452,49.04655462184874,47.23963471694162,47.579327731092434
82,2024-10-11,49.64628810087416,48.75384615384616,47.23329769892466,47.65384615384615
83,2024-10-12,49.55636347412066,48.59436090225564,47.20055892129274,47.577293233082706
84,2024-10-13,49.54854721395692,48.541729323308275,47.21540964115867,47.68255639097744
85,2024-10-14,49.59178974225529,48.56755725190839,47.33168870074068,48.00137404580152
86,2024-10-15,49.55948423710346,48.32499999999999,47.4042035926961,48.3057627118644
87,2024-10-16,49.45593745850485,47.907983193277296,47.45465270216439,48.52252100840336
88,2024-10-17,49.45347671994898,48.10875,47.420257951250306,48.304
89,2024-10-18,49.3835280660445,47.98565573770491,47.308366380010774,48.101475409836084
90,2024-10-19,49.40540046666323,48.17415254237287,47.3710545686588,48.15067796610171
91,2024-10-20,49.441073615758576,48.33508064516129,47.30785712481849,47.885322580645166
92,2024-10-21,49.38546172671231,48.24809160305343,47.39509711595057,48.08549618320609
93,2024-10-22,49.48369632056683,48.3206106870229,47.28448654056188,48.06030534351144
94,2024-10-23,49.51219706556421,48.44590163934426,47.3414709791759,48.10737704918032
95,2024-10-24,49.56824533888696,48.562400000000004,47.36759564185531,48.0968
96,2024-10-25,49.41730879126956,48.297183098591546,47.3538269397386,47.96408450704226
97,2024-10-26,48.701609533267124,48.25575221238938,47.05709791459782,47.72743362831858
98,2024-10-27,48.85355869293476,48.43070175438597,47.137757191389504,47.63333333333333
99,2024-10-28,49.05354287396573,48.681651376146796,46.98774288016363,47.300917431192666
100,2024-10-29,49.73255633792014,49.845000000000006,46.250037584180895,46.11900000000001
101,2024-10-30,49.444295650926826,49.824731182795695,46.76878114804059,46.41397849462365
102,2024-10-31,49.21480180986944,49.45428571428571,46.938148654380925,46.94428571428572
103,2024-11-01,49.579124549911064,49.93656249999999,46.589449481584325,46.6053125
104,2024-11-02,49.61114530503719,49.509565217391305,46.65881875030775,47.03565217391304
105,2024-11-03,48.05009381789452,48.26260869565218,47.728120679439066,47.78
